feature,coefficient,abs_coefficient
 год,-4.380162381872502,4.380162381872502
огу ,4.363621720286682,4.363621720286682
ази,4.363164964894288,4.363164964894288
 рф ,-4.363120783855289,4.363120783855289
п ,4.35759064957681,4.35759064957681
20,-4.357196359343547,4.357196359343547
маст,4.355763771709271,4.355763771709271
дох,4.353367362902694,4.353367362902694
! ,4.328667361634706,4.328667361634706
дом ,-4.3275526076692135,4.3275526076692135
 е ,4.324040165535051,4.324040165535051
етал,4.320842898822194,4.320842898822194
жны ,4.30843676641601,4.30843676641601
926,-4.307655977122829,4.307655977122829
 рес,-4.303901161019233,4.303901161019233
 ʙ,4.298340864527666,4.298340864527666
 ф ,4.290709050874756,4.290709050874756
ио ,4.2904147428321595,4.2904147428321595
рт ,4.2883263512353444,4.2883263512353444
ямо ,4.286955441161647,4.286955441161647
вери,4.286419782181494,4.286419782181494
025,4.285149453697677,4.285149453697677
упу,4.282670919248365,4.282670919248365
val,-4.274535675489729,4.274535675489729
 пл,-4.273842012731311,4.273842012731311
 ке,4.2652981122671365,4.2652981122671365
че ,-4.258900187319238,4.258900187319238
"5,",-4.256699505635915,4.256699505635915
 жду,4.249003755253039,4.249003755253039
 550,4.234362174047076,4.234362174047076
Вст,4.231962784659804,4.231962784659804
онус,4.220119367884352,4.220119367884352
жми,4.218716103186786,4.218716103186786
dt ,4.212513983277352,4.212513983277352
ета ,-4.207198174770226,4.207198174770226
лар ,4.204812966681012,4.204812966681012
 ва,4.195603366639011,4.195603366639011
рф ,-4.19533568760974,4.19533568760974
k,4.19494965743927,4.19494965743927
"0, ",-4.190311307873846,4.190311307873846
млю,4.187473833463779,4.187473833463779
ом ,-4.186532774008591,4.186532774008591
 Вст,4.186334937444759,4.186334937444759
загл,4.1803243816684565,4.1803243816684565
"ь, ",-4.179344432336551,4.179344432336551
Ь,4.175499524301303,4.175499524301303
ланд,4.173587623803181,4.173587623803181
треч,4.170076833030051,4.170076833030051
пл,4.16889498877463,4.16889498877463
уден,4.167167357042929,4.167167357042929
usdt,4.164095982211238,4.164095982211238
Треб,4.162619043533833,4.162619043533833
м2,-4.1625390727263785,4.1625390727263785
 о,4.160283695425201,4.160283695425201
пал,-4.139404236531563,4.139404236531563
могу,4.137019204269852,4.137019204269852
тани,-4.12452481226993,4.12452481226993
люсь,4.121436795653763,4.121436795653763
итн,4.11664195393347,4.11664195393347
чл,4.115182780180461,4.115182780180461
нa,4.103625912613082,4.103625912613082
тан,-4.1008644227630855,4.1008644227630855
фл,-4.085024090119308,4.085024090119308
ден,4.08224585204229,4.08224585204229
 тен,4.082207158092908,4.082207158092908
тим ,4.076821782778656,4.076821782778656
парн,4.076339066582736,4.076339066582736
био,4.070994736195159,4.070994736195159
дуба,4.065257317783547,4.065257317783547
удим,4.0648574304272245,4.0648574304272245
слад,4.059809846167604,4.059809846167604
ило,-4.055048614534788,4.055048614534788
 час,4.040602191260527,4.040602191260527
 ни,-4.0331927701155825,4.0331927701155825
пла,4.032959004805388,4.032959004805388
омо,4.028846123074719,4.028846123074719
"в, ",-4.026735586553613,4.026735586553613
ни ,4.024526071024964,4.024526071024964
"ть,",-4.019663200234758,4.019663200234758
азда,4.017451899089302,4.017451899089302
лате,-4.013950326578301,4.013950326578301
ч ,4.013014070151991,4.013014070151991
впи,4.012589574961652,4.012589574961652
"х, ",-4.000342444734746,4.000342444734746
 Π,3.9964743987580222,3.9964743987580222
Π,3.9957517341978948,3.9957517341978948
фай,-3.9933770188585602,3.9933770188585602
день,3.9908420216291383,3.9908420216291383
ο ,3.983290910247645,3.983290910247645
имер,-3.980501142371229,3.980501142371229
танк,-3.9717450669178924,3.9717450669178924
най ,3.969700849213275,3.969700849213275
Помо,3.969095362017447,3.969095362017447
оты ,-3.9660717358641366,3.9660717358641366
"н, ",-3.963774658406753,3.963774658406753
κ ,3.959830486667452,3.959830486667452
 ден,3.955172925262144,3.955172925262144
отна,-3.954719194293144,3.954719194293144
чные,3.9526973731605852,3.9526973731605852
спал,-3.950991433887306,3.950991433887306
раз ,-3.9496306486569117,3.9496306486569117
агру,-3.947863400044801,3.947863400044801
дит ,-3.9460774275011015,3.9460774275011015
"у,",-3.9378539163069375,3.9378539163069375
раза,-3.937003123293159,3.937003123293159
 791,-3.935614597461412,3.935614597461412
ажи,-3.934601934017043,3.934601934017043
ира ,-3.9329189914568436,3.9329189914568436
част,-3.932722859393069,3.932722859393069
книж,-3.931498588855615,3.931498588855615
дe,3.929255995251647,3.929255995251647
тч,-3.927455452546926,3.927455452546926
рус,-3.92542186405614,3.92542186405614
вар ,-3.917386372765873,3.917386372765873
нижк,-3.9151055394555963,3.9151055394555963
 o,3.910299609034514,3.910299609034514
 кн,-3.9049515468131424,3.9049515468131424
 был,-3.9031757198471086,3.9031757198471086
6к,3.8998834332515173,3.8998834332515173
лтур,3.8991932921586527,3.8991932921586527
вать,-3.8969365859861775,3.8969365859861775
удв,-3.8953826682420707,3.8953826682420707
3,3.8924023170577384,3.8924023170577384
циан,-3.8918317886014475,3.8918317886014475
L,-3.883853834171692,3.883853834171692
чем,-3.88241690245669,3.88241690245669
 тк,-3.874873221570733,3.874873221570733
акие,-3.873298150728697,3.873298150728697
 раз,-3.871450639680965,3.871450639680965
код,-3.8617361817563904,3.8617361817563904
чем ,-3.8615785292839218,3.8615785292839218
евш,-3.8614528230599148,3.8614528230599148
 ы ,3.8525000206308078,3.8525000206308078
тдам,3.85204977692138,3.85204977692138
тин,-3.8493493964419194,3.8493493964419194
паль,-3.844528624694411,3.844528624694411
"в,",-3.836007912496586,3.836007912496586
"4,",-3.834034944921325,3.834034944921325
 д ,3.8336317953133006,3.8336317953133006
 бат,-3.827875858233214,3.827875858233214
 впи,3.824744929268176,3.824744929268176
делю,3.822126300721788,3.822126300721788
рмат,3.8206134492419874,3.8206134492419874
но ,-3.817727817990039,3.817727817990039
 упу,3.8150047165177083,3.8150047165177083
бли ,3.8142044487770654,3.8142044487770654
",0",-3.811857944240807,3.811857944240807
"х,",-3.8075082333616077,3.8075082333616077
ижк,-3.807335836177325,3.807335836177325
 20,-3.8012116964371385,3.8012116964371385
ве ,-3.800307668017881,3.800307668017881
кому,3.795195679515174,3.795195679515174
нир,-3.794254321489581,3.794254321489581
овет,-3.7856921562085866,3.7856921562085866
кси ,3.775783509549901,3.775783509549901
Хоче,3.7722675553752407,3.7722675553752407
абаш,3.7705409157282284,3.7705409157282284
аю ,3.768548887287965,3.768548887287965
 жд,3.76080113434939,3.76080113434939
ивет,3.751182698439507,3.751182698439507
сках,3.745864831190384,3.745864831190384
пиш,3.7448321517349608,3.7448321517349608
дом,-3.7435373826063705,3.7435373826063705
im ,3.74215510831344,3.74215510831344
ита,-3.741817264368469,3.741817264368469
лив,3.735488889302912,3.735488889302912
 чес,3.7318855353862905,3.7318855353862905
щу ,3.7318181564003288,3.7318181564003288
 t,3.728802910052924,3.728802910052924
tr,-3.7282121792430094,3.7282121792430094
нанс,3.728165477545339,3.728165477545339
й ,3.7265040622173156,3.7265040622173156
"с, ",-3.7212385140096447,3.7212385140096447
30,-3.718709080638165,3.718709080638165
омн,-3.7142353220034283,3.7142353220034283
sp,-3.7090753752052166,3.7090753752052166
часа,3.7075961193582216,3.7075961193582216
а6,3.7072047853445653,3.7072047853445653
З,3.7043434083426816,3.7043434083426816
 тк ,-3.700539962581756,3.700539962581756
алк,-3.6939636281593984,3.6939636281593984
id,-3.693594191136452,3.693594191136452
 веч,3.689943572316289,3.689943572316289
 Мож,-3.6888490441102713,3.6888490441102713
100,-3.6816441779234728,3.6816441779234728
"к,",-3.681560066694917,3.681560066694917
сказ,-3.680754082537733,3.680754082537733
дви,3.6799829441910976,3.6799829441910976
 вод,3.6792969668933306,3.6792969668933306
 97,3.679278631157712,3.679278631157712
кто ,3.6787458848297443,3.6787458848297443
c,3.6740510861381996,3.6740510861381996
 них,-3.671573223547723,3.671573223547723
ска,-3.6696301331233663,3.6696301331233663
Уста,3.669310032575134,3.669310032575134
эт,-3.663420617022282,3.663420617022282
Сто,-3.6576694041625575,3.6576694041625575
бот,3.6573447649493795,3.6573447649493795
"р,",-3.652736015548088,3.652736015548088
"н,",-3.6493733113338322,3.6493733113338322
 Сто,-3.6481902102998007,3.6481902102998007
ᴘ,3.6481016062254805,3.6481016062254805
co,-3.64396200116506,3.64396200116506
помо,3.6430981610019684,3.6430981610019684
"у, ",-3.641020586034602,3.641020586034602
риме,-3.6340888616855116,3.6340888616855116
кв.,-3.626695762457513,3.626695762457513
акс,3.624353620101802,3.624353620101802
слож,3.622504983463989,3.622504983463989
аза,-3.6213836630044427,3.6213836630044427
"ть, ",-3.620146403204009,3.620146403204009
олуч,3.6191765932145006,3.6191765932145006
отри,3.6186438203143347,3.6186438203143347
 ы,3.6183407715705855,3.6183407715705855
ме,3.6174723568396456,3.6174723568396456
rc,-3.6149130887072336,3.6149130887072336
уф,-3.6113718836404156,3.6113718836404156
учай,3.6024017632577716,3.6024017632577716
шут,-3.6022974247491857,3.6022974247491857
"д,",-3.6004074009871654,3.6004074009871654
личн,3.5948752294746984,3.5948752294746984
Мож,-3.5865977261687263,3.5865977261687263
соб ,3.580972617219355,3.580972617219355
инан,3.5770823710304445,3.5770823710304445
cт,3.576417797414216,3.576417797414216
1,3.576065409436178,3.576065409436178
упус,3.5758454078142647,3.5758454078142647
тим,3.573179069371969,3.573179069371969
 пит,-3.5715452554883753,3.5715452554883753
зара,3.5707889712661802,3.5707889712661802
аби,3.5692727215302544,3.5692727215302544
лар,3.5677975367563644,3.5677975367563644
знай,3.5670154133798575,3.5670154133798575
"к, ",-3.566223915982679,3.566223915982679
 сю,3.564735597438027,3.564735597438027
жно ,-3.563464682285385,3.563464682285385
рочн,3.5593308887311275,3.5593308887311275
фик ,-3.5577880944031635,3.5577880944031635
"3,",-3.5550781745786297,3.5550781745786297
жо,-3.5461627565466984,3.5461627565466984
кa,3.5432465504881856,3.5432465504881856
" ,",-3.5346641178218925,3.5346641178218925
м2 ,-3.524703578248526,3.524703578248526
ивая,3.524195506307725,3.524195506307725
плат,3.5236945712532397,3.5236945712532397
ачем,-3.516368448460445,3.516368448460445
зраб,-3.514710915949877,3.514710915949877
вал,-3.5126917829313595,3.5126917829313595
лать,-3.5114057984240272,3.5114057984240272
тк ,-3.5086702960680274,3.5086702960680274
пей,3.5083338959226755,3.5083338959226755
гк,3.5078633482062,3.5078633482062
 нам,3.5047745975782827,3.5047745975782827
допл,3.50405697161921,3.50405697161921
р ,3.502789553993242,3.502789553993242
вроп,3.5012316045919682,3.5012316045919682
стри,-3.4978523445212937,3.4978523445212937
стир,3.4946236433264595,3.4946236433264595
иши ,3.492496727427459,3.492496727427459
гаю ,3.487871100109901,3.487871100109901
тров,-3.48730991048789,3.48730991048789
нора,3.4836036852042915,3.4836036852042915
риш,-3.48233863770432,3.48233863770432
отн,-3.481944972482122,3.481944972482122
Сда,-3.4810340286524575,3.4810340286524575
тор,-3.476864415141965,3.476864415141965
азин,3.4744851751431685,3.4744851751431685
eн,3.4724913295996624,3.4724913295996624
вож,3.4722190673109683,3.4722190673109683
люби,-3.471194983016242,3.471194983016242
"e,",-3.460935994013933,3.460935994013933
рофи,3.460478891495896,3.460478891495896
 Сда,-3.4574343843136552,3.4574343843136552
Цена,-3.4559966286237107,3.4559966286237107
бщен,3.4554491515386503,3.4554491515386503
 хал,3.452576829222071,3.452576829222071
тa,3.451452227871808,3.451452227871808
aval,-3.4410685044940466,3.4410685044940466
",5",-3.440964377542608,3.440964377542608
дачу,-3.4381680347873442,3.4381680347873442
"д, ",-3.4375723681897568,3.4375723681897568
иле ,3.4359245497983673,3.4359245497983673
вот,-3.4356005593570775,3.4356005593570775
яем ,3.430927224511151,3.430927224511151
"e, ",-3.427613554493125,3.427613554493125
грыш,3.419827522025613,3.419827522025613
они,-3.419700619053117,3.419700619053117
окаж,3.4159080828186963,3.4159080828186963
io,-3.4145778814836154,3.4145778814836154
диск,-3.413835110226634,3.413835110226634
ору,-3.412893280056228,3.412893280056228
"с,",-3.4110207905714436,3.4110207905714436
вере,3.409475909558436,3.409475909558436
40,-3.4076035905994493,3.4076035905994493
z,3.4059913295163495,3.4059913295163495
анал,3.4058563411679517,3.4058563411679517
оня,-3.405811529665315,3.405811529665315
дите,3.4052232861175296,3.4052232861175296
роп,3.3995144700969626,3.3995144700969626
Сдел,3.398785629827954,3.398785629827954
pi,-3.3913633478402776,3.3913633478402776
ассы,3.3905878229726936,3.3905878229726936
 П,3.3902279309894463,3.3902279309894463
ф ,3.389736838665593,3.389736838665593
ава,-3.3890888291270347,3.3890888291270347
 ап,-3.3887230430733566,3.3887230430733566
Хоч,3.3864850537589235,3.3864850537589235
обег,-3.383883758523362,3.383883758523362
 дру,-3.382956627827516,3.382956627827516
отом,-3.3823189328461987,3.3823189328461987
проф,3.379958303326168,3.379958303326168
ρа,3.3783899123144043,3.3783899123144043
 H,3.3755423685277752,3.3755423685277752
Ус,3.3748385186348777,3.3748385186348777
еред,-3.372329657367878,3.372329657367878
 оре,3.3652545267109657,3.3652545267109657
раз,-3.363580305470719,3.363580305470719
 мет,-3.3634522220503813,3.3634522220503813
итай,-3.362292530513935,3.362292530513935
 Сде,3.3618172348258306,3.3618172348258306
 ним,-3.360196543771576,3.360196543771576
Сде,3.359388505435609,3.359388505435609
 чек,3.3570370929624778,3.3570370929624778
нта ,-3.355376561338295,3.355376561338295
ит ,-3.3544484343129404,3.3544484343129404
вто ,3.3527093943911246,3.3527093943911246
791,-3.35166041830322,3.35166041830322
Пото,-3.348100422529734,3.348100422529734
 км,-3.345405179062932,3.345405179062932
час ,3.3439068940337,3.3439068940337
окая,3.3423137889136187,3.3423137889136187
Рабо,3.3378152061281527,3.3378152061281527
 Хоч,3.3374077162093587,3.3374077162093587
аре,-3.3368965385020646,3.3368965385020646
ерес,3.334189786556229,3.334189786556229
драб,3.3335458748878546,3.3335458748878546
 ь,3.332316000122186,3.332316000122186
равн,-3.3322039446784872,3.3322039446784872
 кер,3.331110037071876,3.331110037071876
алту,3.330162721143101,3.330162721143101
осу ,3.3291603208814387,3.3291603208814387
горо,3.325984952098857,3.325984952098857
бег,-3.3246552469445505,3.3246552469445505
жем ,3.3226525155546405,3.3226525155546405
 пла,-3.3161725400017255,3.3161725400017255
ыльн,3.3144847567570834,3.3144847567570834
пp,3.3129768105380344,3.3129768105380344
 им ,-3.308542104516505,3.308542104516505
рич,-3.3070255713633365,3.3070255713633365
Будв,-3.3023289236720226,3.3023289236720226
ригл,3.3013273624683257,3.3013273624683257
de,-3.299184452712707,3.299184452712707
руй ,3.2967025944279222,3.2967025944279222
иден,-3.296458111883738,3.296458111883738
овож,3.294158148443022,3.294158148443022
ачни,3.293427058772486,3.293427058772486
da,-3.292944011044838,3.292944011044838
ано,-3.289489715365821,3.289489715365821
J,-3.28863310900542,3.28863310900542
дат,-3.288294929324896,3.288294929324896
зг,3.2861603114372264,3.2861603114372264
итны,3.27821865446799,3.27821865446799
тο,3.2759604968508076,3.2759604968508076
κа,3.2726377388805954,3.2726377388805954
вочк,3.2707572071238666,3.2707572071238666
тир,3.2702524322375246,3.2702524322375246
неск,3.269826978673298,3.269826978673298
 мой,3.2677160055340084,3.2677160055340084
або,3.2653501809098486,3.2653501809098486
 Л,3.2648182131603787,3.2648182131603787
нтал,3.2632465723165685,3.2632465723165685
оход,3.260345123033634,3.260345123033634
онет,3.2594627388657478,3.2594627388657478
одру,3.257112050828171,3.257112050828171
аем,3.256727437490501,3.256727437490501
ло ,-3.2545445244428013,3.2545445244428013
овар,-3.2538472383111756,3.2538472383111756
Прив,3.2529941249485756,3.2529941249485756
араб,3.2450853230533,3.2450853230533
удва,-3.240700094085133,3.240700094085133
с ,3.239717245931809,3.239717245931809
нт ,3.23613779481983,3.23613779481983
сужд,-3.2358383014244616,3.2358383014244616
ран ,-3.2346747970587573,3.2346747970587573
жете,3.2335405920309572,3.2335405920309572
Раб,3.2317055248083597,3.2317055248083597
рин ,3.2289333838307552,3.2289333838307552
 ре,-3.2236712986189455,3.2236712986189455
из ,3.219240988954952,3.219240988954952
US,3.2180984783751323,3.2180984783751323
рков,-3.2152188681566574,3.2152188681566574
ева,-3.2142412208125584,3.2142412208125584
зай,3.213038194677055,3.213038194677055
ес,3.211944095040765,3.211944095040765
иды ,3.2113958342185054,3.2113958342185054
Ищу ,3.210566995640156,3.210566995640156
 Цен,-3.2102708833398723,3.2102708833398723
ρе,3.2092012266785446,3.2092012266785446
фиг,-3.2051909162689856,3.2051909162689856
ател,-3.2033752686080543,3.2033752686080543
ату ,-3.201267659388657,3.201267659388657
ота,-3.200774092465,3.200774092465
 кор,-3.2001683035327946,3.2001683035327946
aл,3.1996363359921243,3.1996363359921243
 Раб,3.199317647772365,3.199317647772365
мод,-3.1990092971125192,3.1990092971125192
oв,3.196183710822197,3.196183710822197
тя ,-3.1941647629626377,3.1941647629626377
зин ,3.19381898118872,3.19381898118872
оем ,3.1904498642621526,3.1904498642621526
ндр,-3.189081408894463,3.189081408894463
кажу,3.188199118130726,3.188199118130726
имо,-3.187105893368123,3.187105893368123
мнен,-3.1842121309206126,3.1842121309206126
 18 ,3.182491600237522,3.182491600237522
сло ,-3.181951638882741,3.181951638882741
сока,3.1801947718558408,3.1801947718558408
з ,3.180115605255045,3.180115605255045
дня,3.1784524460525074,3.1784524460525074
ir,3.1776400432401806,3.1776400432401806
пц,-3.1767482669018454,3.1767482669018454
масл,-3.1726452126655404,3.1726452126655404
рьер,3.1703618946451324,3.1703618946451324
 ию,-3.168238801284489,3.168238801284489
Ищем,3.166516983585814,3.166516983585814
t ,3.1655238136141506,3.1655238136141506
Вп,3.1648336227716722,3.1648336227716722
 Вп,3.1648336227716722,3.1648336227716722
шком,-3.1635679340359575,3.1635679340359575
ак,-3.163504242035655,3.163504242035655
днят,3.1610449121503743,3.1610449121503743
даро,3.160791208167035,3.160791208167035
тся,-3.160716126173658,3.160716126173658
dt,3.160395716065341,3.160395716065341
"р, ",-3.1602841566011617,3.1602841566011617
рило,-3.1598123302506194,3.1598123302506194
редн,-3.1566362654583737,3.1566362654583737
 виз,3.1536338084179216,3.1536338084179216
тако,-3.1523496592754334,3.1523496592754334
э ,3.149774815495294,3.149774815495294
аκ,3.148474092392477,3.148474092392477
аса,3.1451669257532027,3.1451669257532027
сик,3.1431650169559693,3.1431650169559693
mi,3.1418191283222727,3.1418191283222727
лав,-3.1399647650356934,3.1399647650356934
рифи,3.1396412290740563,3.1396412290740563
 эс,3.1385410663013382,3.1385410663013382
ше ,-3.1376922953890762,3.1376922953890762
ro,-3.1310484595104633,3.1310484595104633
пару,3.1298124621432266,3.1298124621432266
сове,-3.1268870495889955,3.1268870495889955
